payer_id,vyne_payer_id,insurance_name,features,alt_ids
IDIND,IDIND,Delta Dental of Illinois (Individual),"ELIGIBILITY
CLEARCOVERAGE",
INCS1,INCS1,Caresource - IN,ELIGIBILITY,SCION
LX049,PRIMEWEST,Primewest Health,ELIGIBILITY,"61603
61604"
PACLF,PACLF,Pacific Life,ELIGIBILITY,
R7002,WILSON_MCSHANE_CORP,Wilson Mcshane Corporation,ELIGIBILITY,01066
R7003,BENEFIT_INC,Benefit Inc,ELIGIBILITY,
R7004,FLEX_COMPENSATION,FLEX Compensation,ELIGIBILITY,
RLH01,RLH01,Lifemap Dental Claims,ELIGIBILITY,TLU30
SB601,ANTHEM_BCBS_GEORGIA,Blue Cross Blue Shield of Georgia,ELIGIBILITY,"CBGA1
54000"
SCION,SCION,"SKYGEN USA, LLC",ELIGIBILITY,GACS1
SDCMS,SDCMS,Medicare Advantage SD,ELIGIBILITY,
SDCOM,DIRECT_DENTAL,"SKYGEN USA, LLC Commercial",ELIGIBILITY,
SKYGN,MOLINA,Molina Healthcare,ELIGIBILITY,SKYGEN
STR01,STR01,Starmount Life Insurance Co,ELIGIBILITY,STR01T1
STRDH,STRDH,Unum Dental - CA DHMO,ELIGIBILITY,
TBX01,BCBS_ARIZONA,Blue Cross Blue Shield of Arizona,ELIGIBILITY,"53589
TLZ14"
TFQ56,DESERET_MUTUAL_BENEFIT_ADMINISTRATORS,Deseret Mutual Benefit Administrators,ELIGIBILITY,"CX089
DX214"
TKC01,TKC01,KANSAS CITY LIFE INSURANCE CO / KCL GROUP BENEFITS,ELIGIBILITY,"28777
CX058
P-KCL"
TLU11,ALLEGIANCE,Allegiance Benefit Plan Management,ELIGIBILITY,81040
TLU43,TLU43,Blue Cross Blue Shield of Utah (Regence),"ELIGIBILITY
CLEARCOVERAGE","CBUT1
00091
91000
TLU95
DX088"
TLX30,MVP_SELECT_CARE,MVP Select Care,ELIGIBILITY,"14165
P-MVP"
TLX52,BCBS_MO,Blue Cross Blue Shield of Missouri,ELIGIBILITY,"Z0001
AD241"
TLX77,TLX77,Security Life Insurance Co of America,ELIGIBILITY,"47009
CX092
TLZ28"
TLY21,ZENITH,Zenith Administrators (MN),ELIGIBILITY,R7001
TMCHI,HDS_MEDICAID,Medicaid of Hawaii (Hawaii Dental Services),ELIGIBILITY,HDSMH
TNC02,TNC02,Renaissance Gov Prog Claims,ELIGIBILITY,TNCO2
TNCMS,TNCMS,Medicare Advantage of Tennessee,ELIGIBILITY,
TPC17,SELECTHEALTH,Select Health,ELIGIBILITY,"CX107
SX107
30192"
UHC_API,UHC_API,United Healthcare Dental (Integration),"ELIGIBILITY
CLEARCOVERAGE",
VYNE1,VYNE1,Vyne Sample Responses,"ELIGIBILITY
CLEARCOVERAGE",
WT016,WT016,Delta Dental - Individual,"ELIGIBILITY
CLEARCOVERAGE","WDENC
01130
WT016"
WVCS1,WVCS1,Caresource - West Virginia,ELIGIBILITY,
